A filosofia do Nível 2 é: Comunidade e Especialização.,,,
,,,
Aqui está o desenho completo do que é desbloqueado e como o jogo evolui.,,,
,,,
1. Cargos Liberados no Nível 2,,,
"Ao se tornar um Barão, o líder precisa delegar. A sociedade se torna mais complexa, exigindo especialistas. Estes cargos são desbloqueados através de pesquisa na nova Biblioteca.",,,
,,,
Cargo Genérico,Pré-requisito para Nomear,Bônus Mecânico do Cargo,
2. Ferreiro / Forja,,,
"É uma evolução? Não, é uma construção nova.",,,
Pré-requisitos:,,,
,,,
Feudo: Nível 2 (Barão).,,,
"Pesquisa Necessária: ""Fundamentos da Metalurgia"".",,,
"Custo (Exemplo): 1200 Madeira, 800 Pedra, 200 Minério de Ferro.",,,
O que ela Libera:,,,
,,,
"Mecânica: Permite que jogadores com a skill Blacksmithing criem armas, armaduras e ferramentas de ferro (e outros metais básicos). Concede um bônus passivo de ""qualidade"" ou ""chance de sucesso"" para qualquer um que a utilize.",,,
"Cargos: Desbloqueia o cargo de ""Mestre Ferreiro"".",,,
Roleplay: Define seu feudo como um centro de produção militar ou industrial. Outros jogadores virão até você para encomendar equipamentos de qualidade.,,,
3. Marcenaria,,,
"É uma evolução? Não, é uma construção nova.",,,
Pré-requisitos:,,,
,,,
Feudo: Nível 2 (Barão).,,,
"Pesquisa Necessária: ""Carpintaria Avançada"".",,,
"Custo (Exemplo): 1200 Madeira, 400 Pedra.",,,
O que ela Libera:,,,
,,,
"Mecânica: Permite que jogadores com a skill Carpentry criem arcos, escudos de madeira e móveis de maior qualidade. Concede um bônus passivo de ""qualidade"".",,,
"Cargos: Desbloqueia o cargo de ""Mestre Carpinteiro"".",,,
Roleplay: Essencial para feudos focados em arquearia ou que desejam se destacar pela beleza de suas construções e mobília.,,,
4. Estábulo,,,
"É uma evolução? Não, é uma construção nova.",,,
Pré-requisitos:,,,
,,,
Feudo: Nível 2 (Barão).,,,
"Pesquisa Necessária: ""Domesticação de Bestas"".",,,
"Custo (Exemplo): 2000 Madeira, 500 Pedra, 5000 Comida.",,,
O que ela Libera:,,,
,,,
"Mecânica: Permite abrigar e treinar montarias. Um cavalo ""selvagem"" pode ser colocado no estábulo para se tornar uma ""montaria de guerra"" (com mais HP) após um período de tempo e consumo de comida. Também aumenta a velocidade de viagem dos membros do feudo que partem do território.",,,
"Cargos: Desbloqueia o cargo de ""Domador de Animais"".",,,
Roleplay: Abre um novo ramo da economia (criação e venda de montarias) e da capacidade militar (cavalaria).,,,
5. Biblioteca,,,
"É uma evolução? Sim, esta é a evolução direta da ""Mesa de Planejamento"".",,,
Pré-requisitos:,,,
,,,
Feudo: Nível 2 (Barão).,,,
"Pesquisa Necessária: ""Escrita Formal"" (a última pesquisa da árvore do Nível 1).",,,
"Custo (Exemplo): 2500 Madeira, 1000 Pedra, 50 Pergaminhos Rústicos.",,,
O que ela Libera:,,,
,,,
"Mecânica: É a nova central de pesquisa, desbloqueando a árvore tecnológica do Nível 2, que é muito mais complexa e cara. Permite que a População seja alocada para gerar ""Pontos de Pesquisa"".",,,
"Cargos: Desbloqueia o cargo de ""Pesquisador"" (que acelera a pesquisa).",,,
Roleplay: Marca a transição do seu feudo de um assentamento de sobrevivência para um centro de conhecimento.,,,
6. Muralha de Pedra (Upgrade),,,
"É uma evolução? Sim, esta é a evolução direta da ""Paliçada de Madeira"".",,,
Pré-requisitos:,,,
,,,
Feudo: Nível 2 (Barão).,,,
"Pesquisa Necessária: ""Técnicas de Fortificação"".",,,
Ter uma Paliçada de Madeira já construída.,,,
"Custo (Exemplo): 5000 Pedra, 1000 Madeira (para os andaimes).",,,
O que ela Libera:,,,
,,,
Mecânica: Aumenta drasticamente o HP e a defesa do seu feudo. É o principal símbolo de poder e segurança no Nível 2.,,,
"Cargos: Aumenta a importância do cargo de ""Vigia"", que agora pode ter novas habilidades relacionadas à defesa de muralhas.",,,
"Roleplay: É uma declaração visual para todo o servidor. Seu feudo não é mais um acampamento, é uma fortaleza.",,,
Resumo da Progressão de Nível 1 para Nível 2:,,,
"Em Nível 1: Você constrói suas 2-3 estruturas produtivas básicas (Fazenda, Lenhador, Mina) e a Mesa de Planejamento.",,,
"Pesquisa em Nível 1: Você usa a Mesa para pesquisar tecnologias que te permitem evoluir esses prédios básicos (ex: ""Técnicas de Arado"").",,,
Ascensão: Você paga o tributo para se tornar Nível 2 (Barão) e ganha +1 lote de construção.,,,
Primeira Ação em Nível 2: Sua prioridade é construir a Biblioteca para substituir a Mesa de Planejamento e desbloquear as novas e poderosas pesquisas do Nível 2.,,,
"A Nova Escolha Estratégica: Com seu novo lote e novas opções, você deve decidir: ""Vou construir uma Forja para me tornar uma potência militar, uma Taverna para focar na economia, ou um Estábulo para ter mobilidade?""",,,
"A transição é clara, lógica e cheia de decisões significativas.",,,
