Padrão de Design: Nível 3 - A Era do Governo (Condado),,,
"Filosofia Central: O feudo agora é uma cidade, o coração de um condado. O foco muda da simples produção para a criação de instituições, a projeção de poder militar e a solidificação de uma identidade cultural e política. A gestão se torna mais complexa, exigindo um conselho de especialistas.",,,
,,,
1. Recompensas da Ascensão,,,
Novo Título: O Líder se torna Conde.,,,
"Expansão do Terreno: O feudo ganha +1 Lote de Construção, permitindo a construção de uma nova estrutura principal (7x7).",,,
2. Cargos Liberados no Nível 3 (O Conselho do Conde),,,
O Conde precisa de um conselho formal para administrar a crescente complexidade da cidade. Estes cargos são desbloqueados ao construir as estruturas correspondentes.,,,
,,,
Cargo Genérico,Pré-requisito para Atribuição,Bônus Mecânico do Cargo,
Gulthrak (Orc),"""Máquinas de Guerra"": A construção de armas de cerco (futuras) é 25% mais rápida.","""Trabalho Escravo"": Aumenta a População Máxima das Casas em +4, mas reduz a Moral do feudo em -10.",
P. do Leste (Oriental),"""A Arte da Guerra"": As pesquisas militares são 20% mais rápidas.","""Burocracia Imperial"": O cargo de Mestre das Moedas se torna mais eficiente (+10% Cobre, -5% Upkeep).",
Aluriel (Elfos),"""Magia de Batalha"": Desbloqueia um encantamento de resistência mágica para unidades.","""Pacto com a Natureza"": A produção de Madeira e Comida aumenta em +15%.",
6. Novas Leis e Éditos (Nível 3),,,
"Como Conde, o líder pode manter três Leis Ativas (uma de cada categoria) e dois Éditos.",,,
,,,
Tipo,Nome,Efeito (Bônus e Penalidade),
Lei (Militar),"""Doutrina de Cerco""",#ERROR!,
Lei (Social),"""Patrocínio Acadêmico""",#ERROR!,
Édito (Conduta),"""Licença de Comércio""","Apenas mercadores com licença podem vender no Mercado. Gera renda, mas cria barreira para novatos.",
Édito (Conduta),"""Estandarte Obrigatório""","Membros devem usar o brasão do feudo. Promove unidade, mas limita customização.",
